filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_labthird_partymdmd4c.c_Encode.c,60,3276,23,716,19,777,23,716,,,,
extr_labenginecodeqcommoncm_patch.c_CM_Subdivide.c,50,130,21,49,21,53,38,38,,,,
extr_darwin-xnubsdnfsnfs_node.c_nfs_node_sort4.c,103,184,53,100,51,102,68,68,,,,
extr_linuxtoolstestingselftestsvmthuge-gen.c_ilog2.c,17,93,13,53,13,53,13,53,8,8,8,8
extr_kittykittenschoosescore.c_has_char.c,23,3328,20,1541,14,1541,20,1541,0,0,0,0
extr_stbtestsprereleasestb_lib.h_stb_adler32.c,129,2250,84,714,59,762,119,731,-1150258117,-1150258117,-1150258117,-1150258117
extr_tenginesrchttpmodulesngx_http_log_module.c_ngx_http_log_copy_short.c,31,8163,19,3843,14,3362,38,1822,,,,
extr_darknetsrcstb_image_write.h_stbiw__crc32.c,28,4603,20,2052,18,2306,35,1673,3535417117,3535417117,3535417117,3535417117
extr_darknetsrcutils.c_top_k.c,62,1410101,52,620006,36,751314,71,521889,,,,
extr_h2odepshiredisread.c_seekNewline.c,39,4601,27,1292,27,1800,28,1546,,,,
extr_linuxdriversmediadvb-frontendsmxl5xx.c_convert_endian.c,131,4786,37,533,27,463,32,404,,,,
extr_linuxdriversstagingrtl8188eucorertw_security.c_xor_128.c,23,250,12,102,12,119,52,52,,,,
extr_FFmpeglibavresampleresample.c_bessel.c,39,555,25,349,26,408,25,349,inf,inf,inf,inf
extr_redissrcsds.c_sdsull2str.c,56,95,39,69,28,50,29,55,3,3,3,3
extr_reactosdllwin32usp10bidi.c_reverse.c,31,3061,20,1154,16,1152,20,1154,,,,
extr_darknetsrcgemm.c_gemm_tn.c,62,349512453,59,116982299,51,133498647,181,28942047,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_construct_ctr_preload.c,83,364,42,92,47,193,52,52,,,,
extr_linuxdriversstagingrtl8192uieee80211ieee80211_crypt_ccmp.c_xor_block.c,22,3581,13,1283,11,1537,85,361,,,,
extr_reactosdllwin32iphlpapiicmp.c_in_cksum.c,47,1687,26,782,22,780,98,186,-35320,-35320,-35320,-35320
extr_linuxdriversmediai2cir-kbd-i2c.c_copy_codes.c,43,6644,24,3326,21,3579,105,1017,,,,
extr_Craftsrcmatrix.c_mat_vec_multiply.c,52,433,23,140,27,186,26,26,,,,
extr_labenginecoderenderergl2tr_extramath.c_NextPowerOfTwo.c,15,74,10,42,9,41,10,42,256,256,256,256
extr_reactosmodulesrosappslibvfdlibvfdfat.c_SelectDosBpb.c,23,191,12,67,12,80,9,9,,,,
extr_linuxsoundsocfslfsl_asrc.c_fsl_asrc_cal_asrck_divisor.c,21,59,20,40,15,37,20,40,7,7,7,7
extr_h2odepspicotlsdepscifrasrccurve25519.tweetnacl.c_car25519.c,53,760,30,360,28,345,30,360,,,,
extr_linuxdriversblockaoeaoecmd.c_ata_ident_fixstring.c,26,5112,18,2558,15,2811,80,518,,,,
extr_linuxdriversnetwirelessrealtekrtlwifirtl8192eephy.c__phy_convert_txpower_dbm_to_relative_value.c,37,105,27,63,27,68,29,29,,,,
extr_linuxsamplesbpftracex2_user.c_stars.c,43,6888,29,1545,27,2053,32,1548,,,,
extr_linuxdriversstagingrtl8188eucorertw_security.c_xor_32.c,23,70,12,30,12,35,16,16,,,,
extr_darknetsrcblas.c_axpy_cpu.c,30,4859,20,2052,20,2308,64,1576,,,,
extr_kphp-kdbstatsxstatsx-data.c_serialize_list2_raw.c,36,8694,24,2569,22,3078,92,402,,,,
extr_darwin-xnuteststurnstile_multihop.c_do_work.c,38,2922205,29,1952436,26,1950570,29,1952436,,,,
