filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_linuxdriversstagingrtl8192uieee80211ieee80211_crypt_tkip.c_Lo16.c,7,7,5,5,5,5,5,5,255,255,255,255
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_immrx4_encode.c,16,16,9,9,9,9,9,9,0,0,0,0
extr_linuxdriversmediai2cov7670.c_ov7670_abs_to_sm.c,14,14,13,13,13,13,13,13,x,x,x,x
extr_darwin-xnubsdnfsnfs4_subs.c_nfs4_ace_nfstype_to_vfstype.c,17,17,10,10,11,11,10,10,0,0,0,0
extr_reactoswin32ssprintingbasespoolsvprinters.c__RpcAddPrinter.c,10,10,5,5,5,5,5,5,0,0,0,0
extr_wcdbandroidsqlciphersqlite3.c_sqlite3_value_subtype.c,16,16,8,8,8,8,8,8,0,0,0,0
extr_linuxdriverspowersupplyab8500_charger.c_ab8500_charger_get_usb_cur.c,39,39,18,18,21,21,17,17,0,0,0,0
extr_linuxarchpowerpcperfe6500-pmu.c_e6500_xlate_event.c,13,13,8,8,8,8,8,8,0,0,0,0
extr_linuxdriversfirmwareqcom_scm-32.c___qcom_scm_restore_sec_cfg.c,9,9,6,6,6,6,6,6,0,0,0,0
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_HLSQ_HS_CONTROL_REG_CONSTOBJECTOFFSET.c,9,9,8,8,8,8,8,8,0,0,0,0
extr_nodemcu-firmwareapplualcode.c_luaK_getlabel.c,11,11,6,6,6,6,6,6,229,229,229,229
extr_darwin-xnubsdlibkernlibkern.h_max.c,12,12,7,7,7,7,7,7,255,255,255,255
extr_macvimsrcgui_mac.c_EventModifiers2VimMouseModifiers.c,25,25,18,18,18,18,18,18,0,0,0,0
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_ctd_type_source_ctl.c,15,15,11,11,11,11,11,11,255,255,255,255
extr_emscriptensystemlibpthreadlibrary_pthread.c_sched_get_priority_max.c,13,13,10,10,10,10,10,10,0,0,0,0
extr_linuxmmnommu.c_vm_insert_page.c,9,9,6,6,6,6,6,6,0,0,0,0
extr_linuxdriversnetethernetqlogicqedqed_vf.h_qed_vf_pf_reset.c,7,7,6,6,6,6,6,6,0,0,0,0
extr_linuxdriversgpudrmmsmdsidsi.xml.h_DSI_28nm_PHY_PLL_SDM_CFG1_DC_OFFSET.c,9,9,8,8,8,8,8,8,0,0,0,0
extr_How-to-Make-a-Computer-Operating-Systemsrcsdksrclibcsrcsignalsigaddset.c_sigaddset.c,19,19,14,14,14,14,14,14,-1,-1,-1,-1
extr_labenginecodeqcommonhuffman.c_get_bit.c,19,19,15,15,15,15,15,15,1,1,1,1
extr_FFmpeglibavcodecv4l2_m2m.c_v4l2_splane_video.c,19,19,12,12,12,12,12,12,0,0,0,0
extr_reactosdllwin32dbghelpsymbol.c_cmp_addr.c,14,14,11,11,11,11,11,11,0,0,0,0
extr_radare2librhashhamdist.c_hamdist.c,13,13,7,7,8,8,7,7,0,0,0,0
extr_linuxsoundcoreseqossseq_oss_timer.h_snd_seq_oss_timer_is_realtime.c,7,7,5,5,5,5,5,5,479,479,479,479
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_SP_VS_CTRL_REG0_HALFREGFOOTPRINT.c,9,9,8,8,8,8,8,8,0,0,0,0
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_TEX_CONST_8_BASE_HI.c,9,9,8,8,8,8,8,8,0,0,0,0
extr_redissrcobject.c_streamRadixTreeMemoryUsage.c,21,21,9,9,9,9,9,9,57792,57792,57792,57792
extr_reactosdllwin32mciseqmcimidi.c_mmr2mci.c,14,14,8,8,8,8,8,8,255,255,255,255
extr_linuxdriversinfinibandcorecm_msgs.h_cm_req_get_path_mtu.c,8,8,6,6,6,6,6,6,29,29,29,29
extr_linuxdriversmdraid5.h_algorithm_valid_raid5.c,15,15,7,7,7,7,7,7,0,0,0,0
extr_linuxdriversinfinibandhwmlx5mlx5_ib.h_check_cq_create_flags.c,10,10,8,8,8,8,8,8,255,255,255,255
extr_linuxarchx86eventsamdcore.c_amd_get_event_code.c,13,13,9,9,9,9,9,9,223,223,223,223
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b......wifi.h_is_hal_stop.c,11,11,8,8,8,8,8,8,0,0,0,0
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_dtd_get_next_chan.c,10,10,8,8,8,8,8,8,0,0,0,0
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_uhc_2.c,7,7,5,5,5,5,5,5,416,416,416,416
extr_linuxdriversgpudrmi915intel_fbc.c_intel_fbc_is_active.c,7,7,5,5,5,5,5,5,479,479,479,479
extr_linuxtoolspowerx86turbostatturbostat.c_has_hsw_msrs.c,11,11,11,11,11,11,11,11,0,0,0,0
extr_reactossdklib3rdpartystlportsrcc_locale_win32c_locale_win32.c_trim_size_t_to_DWORD.c,11,11,7,7,7,7,7,7,0,0,0,0
extr_reactosdriversfilesystemsext2srcext3generic.c_test_root.c,16,16,10,10,9,9,10,10,1,1,1,1
extr_linuxsoundpciemu10k1emumixer.c_snd_audigy_i2c_volume_info.c,16,16,10,10,10,10,10,10,0,0,0,0
extr_linuxarchpowerpckernelpci-common.c_null_write_config.c,10,10,5,5,5,5,5,5,0,0,0,0
extr_linuxdriversusbmusbsunxi.c_sunxi_musb_busctl_offset.c,8,8,6,6,6,6,6,6,255,255,255,255
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_CP_DRAW_INDX_OFFSET_1_NUM_INSTANCES.c,9,9,8,8,8,8,8,8,0,0,0,0
extr_linuxdrivershwmonlm90.c_temp_from_s8.c,6,6,5,5,5,5,5,5,255000,255000,255000,255000
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_dtd_max_width_height.c,10,10,8,8,8,8,8,8,255,255,255,255
extr_linuxarchia64kernelefi.c_kmd_end.c,14,14,9,9,9,9,9,9,708,708,708,708
extr_reactosdllwin32comctl32tooltips.c_TOOLTIPS_SetTipBkColor.c,10,10,6,6,6,6,6,6,0,0,0,0
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_br4_encode.c,19,19,10,10,10,10,10,10,1,1,1,1
extr_linuxdriversnetwirelessinteliwlwififwapicmdhdr.h_iwl_cmd_version.c,8,8,6,6,6,6,6,6,0,0,0,0
extr_darwin-xnuosfmkkerntask_policy.c_task_is_daemon.c,13,13,11,11,11,11,11,11,0,0,0,0
extr_linuxarchmipsmath-emuieee754.h_ieee754_setrm.c,7,7,6,6,6,6,6,6,255,255,255,255
extr_opensslcryptoblake2blake2s_mac.c_blake2s_mac_size.c,7,7,5,5,5,5,5,5,479,479,479,479
extr_linuxdriversandroidbinder.c_binder_vm_fault.c,6,6,5,5,5,5,5,5,0,0,0,0
extr_linuxdriversstagingrts5208sd.c_sd_query_switch_result.c,28,28,17,17,12,12,12,12,0,0,0,0
extr_linuxdriversmediarcimg-irimg-ir-jvc.c_img_ir_jvc_scancode.c,15,15,8,8,8,8,8,8,0,0,0,0
extr_linuxdriversregulatorltc3589.c_ltc3589_writeable_reg.c,12,12,8,8,8,8,8,8,0,0,0,0
